run,kind,share,held,side,cells,bodies,born_size,hard,open_born,travel,wood,kills,land,surface,bottom,cold,lead,mass,pace,grass,fruit,crown
control 9,flesh / no tooth / roams / shore,0.033887,False,4,2222222222224444,3871,16,0.0090436,1,16.5,0.0012208,0.66552,0.44433,0,0.55567,0.035133,litter,32,0.698,0.44674,0,0
control 9,mixed / tooth / roams / shore,0.026411,False,7,1100000020000022000002440000244000024400002440000,3017,17,0.1356,1,15,0.056955,0.45302,0.44349,0,0.55651,0.08651,litter,25.56,0.783,0.40455,0,0
control 9,mixed / no tooth / stays / land,0.025185,False,7,4444444444444444444444444444444444444444444444444,2877,36,0.2424,0.55556,0,0.0068857,0.22928,0.98679,0,0.013208,0.072298,grass,68,0.48,0.96774,0,0
control 9,mixed / tooth / stays / shore,0.020633,False,6,111111222110224111244411244411244411,2357,36,0.19748,0.55882,3.75,0.03923,0.34856,0.81078,0,0.18922,0.099703,grass,54.21,0.539,0.78421,0,0
control 9,plant / no tooth / roams / shore,0.013236,False,4,2222422244444444,1512,19,0.013532,1.1765,16.5,0.00025422,0.18236,0.22884,0.42857,0.34259,0.039683,algae,30,0.722,0.23489,0,0
control 9,plant / no tooth / roams / bottom,0.012755,False,4,2222422244444444,1457,16,0.018115,1.25,14.25,5.9502e-08,0.15169,0.026081,0,0.97392,0.0054907,litter,32,0.703,0.018702,0,0
control 9,flesh / tooth / roams / land,0.007616,False,6,111111122221224422224422224422222222,870,36,0.23642,0.51852,17.25,0.15068,0.63977,0.94828,0,0.051724,0.022989,grass,42.095,0.612,0.49731,0,0
control 9,flesh / no tooth / roams / bottom,0.0037467,False,4,2244222222222222,428,16,0.044998,1,19.875,0,0.68055,0.028037,0,0.97196,0.014019,litter,32,0.702,0.013177,0,0
control 9,flesh / no tooth / stays / shore,0.0036417,False,4,4444444444444444,416,24,0.072133,1.1429,3.25,2.7458e-05,0.58895,0.3149,0,0.6851,0.026442,litter,41.11,0.6195,0.27982,0,0
control 9,plant / no tooth / stays / surface,0.0026437,False,7,2222222222022222000022400000444000044400004444000,302,28,0.013713,1.2857,3.25,0,0.14044,0.016556,0.98344,0,0,algae,27.94,0.753,0.0060009,0,0
control 9,flesh / no tooth / stays / bottom,0.0023986,False,4,2222222222224444,274,16,0.042517,1,1.75,0,0.43492,0.018248,0,0.98175,0,litter,32,0.698,0.0032101,0,0
control 9,flesh / tooth / roams / shore,0.0022936,False,6,222222222222224422224422224422222222,262,25,0.081491,0.86957,11.375,0.031453,0.65292,0.66412,0,0.33588,0.034351,grass,33.67,0.685,0.61539,0,0
control 9,mixed / no tooth / roams / land,0.002136,False,5,4444444444442442222422224,244,25,0.010249,0.8,12.375,1.6441e-05,0.34031,0.95082,0,0.04918,0.15984,grass,50,0.561,0.93853,0,0
control 9,plant / tooth / roams / surface,0.0021272,False,8,4444444444444444222022112000002100000022000000020000000200000002,243,31,0.10753,1.0968,20.5,0.00011233,0.22325,0.012346,0.98765,0,0,algae,33.99,0.683,0.0058765,0,0
control 9,plant / tooth / stays / land,0.0017596,False,7,1111044111144411114441110444111224411122441112244,201,48,0.37013,0.34091,0.5,0.019358,0.15888,0.9801,0,0.0199,0.039801,grass,76.29,0.456,0.96797,0,0
control 9,plant / tooth / roams / shore,0.0016808,False,6,110000222000224400244440244441244441,192,26,0.14305,0.61538,10.5,0.10326,0.22975,0.85938,0.0052083,0.13542,0.38542,grass,37.14,0.651,0.77348,0,0
control 9,mixed / tooth / stays / bottom,0.0015144,False,8,4444441144444441444400004440000044000000440000002200000122222222,173,18,0.086266,1.3125,3,0.00921,0.24653,0.040462,0,0.95954,0,litter,22.51,0.824,0.061405,0,0
control 9,flesh / no tooth / roams / land,0.0013219,False,4,2222244224422222,151,16,0.0046978,1,10.75,0,0.71943,0.96026,0,0.039735,0.033113,grass,32,0.702,0.92382,0,0
control 9,flesh / no tooth / stays / land,0.00090167,False,6,111111111111111111110011411111441111,103,25,0.1573,0.8,1.25,0.0006769,0.62314,1,0,0,0.1165,grass,50,0.562,0.94181,0,0
control 9,mixed / no tooth / roams / surface,0.0008754,False,6,222200222000224000244400244000244000,100,20,0.0027701,1.15,29.75,0,0.36803,0.02,0.98,0,0.01,algae,19.97,0.887,0.013029,0,0
control 9,plant / no tooth / roams / land,0.00082288,False,7,2222222222222222222224444442444444444444444444444,94,36,0.0018519,0.88,16,0.00075005,0.18007,0.97872,0,0.021277,0.23404,grass,50,0.5605,0.97299,0,0
control 9,plant / tooth / roams / land,0.0007616,False,6,110000220000224411244411244411244411,87,36,0.34336,0.375,10,0.073132,0.2348,0.98851,0,0.011494,0.22989,grass,51.84,0.55,0.88731,0,0
control 9,flesh / tooth / stays / shore,0.00066531,False,5,1111122224222242222222224,76,25,0.37337,0.52,7.25,0.0035814,0.66314,0.82895,0,0.17105,0,grass,55.8,0.5315,0.83014,0,0
control 9,plant / tooth / stays / surface,0.00044646,False,8,4444444444444444422022112000002100000022000000020000000200000002,51,31,0.17647,1.0968,5.5,0.00050647,0.13663,0.039216,0.96078,0,0.019608,algae,33.99,0.68,0.04648,0,0
control 9,plant / tooth / stays / shore,0.00039393,False,7,2221111222111124441114444411444441144444114444441,45,49,0.34496,0.36585,3,0.087885,0.18799,0.82222,0,0.17778,0.35556,grass,64.74,0.497,0.83533,0,0
control 9,flesh / tooth / stays / land,0.00010505,False,8,0000000000000444000022440002222400422222001222240111444401111144,12,38,0.2306,0.51351,3,0.0093376,0.6081,1,0,0,0.16667,grass,55.3,0.5355,0.96226,0,0
control 9,mixed / tooth / roams / bottom,6.1278e-05,False,6,102201204402244402244442244442224422,7,35,0.070423,1.0417,20.75,0,0.37507,0,0,1,0,litter,29.8,0.713,0,0,0
control 9,mixed / no tooth / stays / surface,5.2524e-05,False,6,444444444444000004000002000002000022,6,17,0,1.5294,3,0,0.44954,0,1,0,0,algae,16.84,0.965,0,0,0
control 9,plant / tooth / stays / bottom,2.6262e-05,False,5,1444012440220402202022220,3,23,0.072464,1.15,0,0,0.13987,0,0,1,0,litter,43.84,0.598,0,0,0
control 9,flesh / no tooth / roams / surface,1.7508e-05,False,7,0000222000022200044420444442444444444444444444444,2,38.5,0,0.72727,10.5,0,0.67638,0,1,0,0,algae,35.88,0.6615,0,0,0
control 9,flesh / tooth / roams / bottom,8.754e-06,False,5,1111114441022200222000220,1,25,0.28,0.5,11.5,0.1134,0.73932,0,0,1,0,browse,49.23,0.566,0.004877,0,0
control 10,mixed / no tooth / stays / bottom,0.14869,False,4,2222222242444444,17049,16,0.01144,1.125,2,5.8175e-05,0.24485,0.032671,0,0.96733,0.0069212,litter,32,0.702,0.019846,0,0
control 10,mixed / tooth / roams / land,0.1128,True,5,1111122222222224222444444,12934,25,0.22979,0.52,17.5,0.22636,0.46397,0.95121,0,0.048786,0.048013,grass,37.515,0.647,0.48642,0,0
control 10,mixed / no tooth / stays / shore,0.10157,False,4,4444444444444444,11647,20,0.046504,1.0588,1.25,0.0026088,0.24288,0.43024,8.5859e-05,0.56967,0.04602,litter,32,0.687,0.4401,0,0
control 10,plant / no tooth / stays / shore,0.089042,False,4,4444444444444444,10210,25,0.057333,0.84,0,0.0012466,0.063,0.40137,0.084133,0.5145,0.029677,grass,32.99,0.684,0.51689,0,0
control 10,plant / no tooth / stays / bottom,0.08728,False,4,4444444444444444,10008,16,0.009695,1,0,2.9326e-07,0.062812,0.02548,0,0.97452,0.0056954,litter,32,0.702,0.015052,0,0
control 10,mixed / no tooth / roams / shore,0.074888,False,4,2222222244444444,8587,16,0.01636,1,15,0.0013327,0.4292,0.25725,0.00011646,0.74263,0.048795,litter,32,0.701,0.23327,0,0
control 10,plant / no tooth / roams / surface,0.05503,False,8,2200000022000000220000002200000022000000444000004444444044444444,6310,28,0.0088356,1.1429,17.75,7.0503e-05,0.16409,0.028526,0.97147,0,0.0099842,algae,27.99,0.743,0.010819,0,0
control 10,mixed / tooth / roams / shore,0.054105,False,5,1111422224222244222444444,6204,36,0.15353,0.62963,16.5,0.14836,0.45306,0.84929,0,0.15071,0.068182,grass,38.58,0.639,0.56371,0,0
control 10,mixed / no tooth / roams / bottom,0.052919,False,4,2222222244444444,6068,16,0.0069646,1,14.75,7.053e-05,0.39759,0.041365,0,0.95864,0.013514,litter,32,0.701,0.02616,0,0
control 10,mixed / tooth / stays / land,0.0493,False,7,1111111114441124444422444442224442222222222222222,5653,36,0.28311,0.44444,3.25,0.062134,0.34107,0.9579,0.001769,0.040333,0.11622,grass,63.14,0.5,0.85912,0,0
control 10,mixed / tooth / stays / shore,0.045777,False,7,1111111111111122222224222222442222444424444444444,5249,36,0.15766,0.57143,4.75,0.057015,0.37517,0.76167,0.011621,0.22671,0.081539,grass,54.76,0.535,0.66704,0,0
control 10,plant / no tooth / stays / land,0.042855,False,10,4444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,4914,48,0.28151,0.40909,0,0.0014756,0.062272,0.97761,0.002035,0.02035,0.049654,grass,73.335,0.465,0.98063,0,0
control 10,mixed / no tooth / stays / land,0.01466,False,4,4444444444444444,1681,36,0.14216,0.64516,0,0.0070492,0.21463,0.98096,0,0.019036,0.02796,grass,53.32,0.545,0.96325,0,0
control 10,flesh / no tooth / roams / shore,0.013692,False,4,2222222242444444,1570,16,0.0068533,1,16,0.001005,0.64246,0.42994,0,0.57006,0.036306,litter,32,0.702,0.39275,0,0
control 10,plant / no tooth / roams / bottom,0.010491,False,4,4244222442444444,1203,16,0.0058863,1.125,14.25,6.4141e-07,0.15722,0.0133,0,0.9867,0.010806,litter,32,0.704,0.0077381,0,0
control 10,plant / no tooth / roams / shore,0.0091048,False,9,222220000222000000220000000220000000200000000200000000440000040444404444444444444,1044,29,0.014092,1.1111,15.5,0.0074854,0.18198,0.20307,0.68199,0.11494,0.032567,algae,32,0.704,0.17082,0,0
control 10,plant / tooth / stays / land,0.0082414,False,8,1110444411144444112204441122044411120444111114411111111111111111,945,36,0.21941,0.5,0.75,0.068895,0.17306,0.98307,0,0.016931,0.084656,grass,72,0.463,0.89299,0,0
control 10,flesh / no tooth / stays / bottom,0.005564,False,4,0000220040000000,638,16,0.018032,1.2308,2.375,0,0.51583,0.028213,0,0.97179,0,litter,26,0.7775,0.031236,0,0
control 10,plant / no tooth / stays / surface,0.0037849,False,9,222000000220000000220000000220000000220000000220000000222000000444444440444444444,434,30,0.024211,1.1034,2.25,0,0.11229,0.036866,0.96313,0,0.0046083,algae,28.215,0.741,0.055622,0,0
control 10,flesh / tooth / roams / shore,0.0032181,False,7,1111111111111122444222244422222222222222222222222,369,39,0.3042,0.45455,14.75,0.088341,0.63511,0.84282,0,0.15718,0.03523,grass,50,0.565,0.61594,0,0
control 10,flesh / no tooth / stays / shore,0.0025989,False,4,2222222222224444,298,16,0.02746,1,5.25,0.0023924,0.66931,0.62752,0,0.37248,0.016779,grass,32,0.702,0.5373,0,0
control 10,mixed / no tooth / roams / surface,0.0025029,False,9,220000000220000000220000000220000000220000000220000000444000000444400000444444000,287,26,0.014234,1.12,27,0,0.41471,0.017422,0.98258,0,0.041812,algae,25,0.779,0.0016035,0,0
control 10,flesh / tooth / roams / land,0.0021803,False,5,1111122221222222222244444,250,25,0.24348,0.5,18.75,0.19264,0.64297,0.952,0,0.048,0.048,browse,40.95,0.6215,0.35973,0,0
control 10,flesh / no tooth / stays / land,0.0019622,False,4,4444444444444444,225,16,0.23417,0.9375,2.25,0.02969,0.53244,0.94222,0,0.057778,0.013333,grass,40,0.624,0.79631,0,0
control 10,flesh / no tooth / roams / bottom,0.0019186,False,4,2222222244224442,220,16,0.010921,1.0667,25,0,0.65468,0.018182,0,0.98182,0.013636,litter,30.245,0.7175,0.045732,0,0
control 10,plant / tooth / roams / land,0.0009506,False,8,1111111411111114222122242222224422222244422224444444444444444444,109,25,0.29042,0.5,11.25,0.1002,0.26048,1,0,0,0.17431,grass,59.99,0.514,0.8527,0,0
control 10,mixed / tooth / roams / bottom,0.0008285,False,4,0022222222441444,95,16,0.080346,1,11.25,0.0023293,0.46072,0.052632,0,0.94737,0,litter,30,0.715,0.028523,0,0
control 10,plant / tooth / stays / surface,0.00076745,False,8,2200000022000000220000002200000022011000224000004444444044444444,88,30,0.17649,1.0667,5.375,0,0.30877,0.045455,0.95455,0,0.022727,algae,32,0.6975,0.0096669,0,0
control 10,mixed / no tooth / roams / land,0.00063664,False,4,2224222422244444,73,16,0.0054152,1,12.75,0.0034586,0.40299,0.9726,0,0.027397,0.054795,grass,32,0.702,0.83606,0,0
control 10,plant / tooth / stays / shore,0.00056687,False,9,222221111222211111222441111224444411244444441244444441244444441224444441222444441,65,81,0.19644,0.38983,3,0.035088,0.18658,0.64615,0.23077,0.12308,0,grass,69.95,0.468,0.79253,0,0
control 10,flesh / no tooth / roams / land,0.00053198,False,4,2222222242444442,61,16,0.047445,1,15,0.0013152,0.7907,0.98361,0,0.016393,0.016393,grass,32,0.703,0.92034,0,0
control 10,plant / no tooth / roams / land,0.00047094,False,4,2244222422244444,54,16,0.0036799,1,15.375,0,0.11717,0.98148,0,0.018519,0.037037,grass,32,0.6985,0.88688,0,0
control 10,flesh / tooth / stays / land,0.00046222,False,4,1221222224442444,53,16,0.26647,0.73333,4.5,0.093821,0.62656,0.98113,0,0.018868,0.09434,grass,38,0.639,0.63843,0,0
control 10,plant / tooth / stays / bottom,0.00020931,False,4,4441442142220222,24,16,0.1036,1,0.25,0.0015614,0.063589,0,0,1,0,litter,32.195,0.6915,7.3034e-19,0,0
control 10,flesh / tooth / stays / shore,0.00013082,False,7,1111111111111422211142222224222222222222222222222,15,49,0.28183,0.5625,7,0.039107,0.59565,0.6,0,0.4,0,litter,81.02,0.444,0.065395,0,0
control 10,plant / tooth / roams / shore,6.1047e-05,False,4,0221224144444444,7,16,0.27679,0.53333,11.25,0.23458,0.13701,0.85714,0,0.14286,0.71429,grass,36,0.665,0.47813,0,0
control 10,mixed / tooth / stays / bottom,5.2326e-05,False,4,1111224144444444,6,16,0.19328,0.625,0.125,0,0.18096,0,0,1,0,litter,42,0.6165,0,0,0
control 10,flesh / tooth / stays / bottom,4.3605e-05,False,4,2211441144414444,5,16,0.26,0.6875,2.5,3.3234e-05,0.76465,0,0,1,0,litter,41.71,0.618,0.0090214,0,0
control 10,flesh / tooth / roams / bottom,4.3605e-05,False,4,0000002202212114,5,16,0.18261,0.8125,26.25,0.0031058,0.76237,0,0,1,0,litter,28.43,0.743,0.21623,0,0
control 10,plant / tooth / roams / bottom,4.3605e-05,False,4,1222222444444404,5,16,0.05,1.0667,77,0.021136,0.098162,0,0,1,0,litter,32,0.676,0.0011645,0,0
control 10,mixed / no tooth / stays / surface,1.7442e-05,False,6,444444444444442244442244444444444444,2,36,0,0.66667,7,0,0.34111,0,1,0,0,algae,35.99,0.66,0,0,0
control 10,plant / tooth / roams / surface,8.7211e-06,False,10,0000444000004444440001224444400122244440012224444001222444400014444400001114000000000000000000000000,1,51,0.15686,0.41176,10,0,0,0,1,0,0,algae,55.12,0.532,0,0,0
control 11,mixed / no tooth / roams / shore,0.16913,True,4,4444444422222222,18332,16,0.00039316,1,15.25,4.4581e-05,0.41743,0.29669,0.0045822,0.69872,0.048549,litter,32,0.699,0.2726,0,0
control 11,mixed / no tooth / stays / bottom,0.12063,False,4,4444444444444444,13075,16,0.0086441,1,1.5,1.1152e-06,0.27425,0.031434,0,0.96857,0.0081071,litter,32,0.7,0.01431,0,0
control 11,plant / no tooth / stays / shore,0.11623,False,4,4444444444442222,12598,16,0.017591,1,1.03,0.00034057,0.089405,0.27163,0.018336,0.71003,0.033339,litter,32,0.701,0.2921,0,0
control 11,mixed / tooth / roams / land,0.11442,False,5,1111144441422242222222222,12402,36,0.26601,0.48,16.75,0.17189,0.46699,0.94541,0.0040316,0.050556,0.058781,grass,35.4,0.667,0.59781,0,0
control 11,plant / no tooth / stays / bottom,0.093558,False,4,4444444444444444,10141,16,0.0036502,1,0,2.111e-09,0.053603,0.030076,0,0.96992,0.0037472,litter,32,0.703,0.016793,0,0
control 11,mixed / no tooth / roams / bottom,0.072145,False,4,2222222222224444,7820,16,0.0013258,1,15,8.3496e-06,0.37212,0.046164,0,0.95384,0.016496,litter,32,0.701,0.042954,0,0
control 11,plant / no tooth / roams / surface,0.054367,False,6,444444444444444444240002220002222222,5893,29,0.0049188,1.2143,23,1.7984e-05,0.18407,0.031393,0.96827,0.00033939,0.012727,algae,27.99,0.739,0.00976,0,0
control 11,mixed / no tooth / stays / shore,0.05171,False,4,4444444444444444,5605,22,0.036634,0.94737,1,0.0017325,0.20408,0.4273,0,0.5727,0.039072,grass,32,0.695,0.51076,0,0
control 11,plant / no tooth / stays / land,0.037853,False,8,4444444444444444444444444444444444444444444444444444444444444444,4103,60,0.1491,0.4898,0,0.00096824,0.043312,0.9749,0.0048745,0.020229,0.035827,grass,74.58,0.458,0.97936,0,0
control 11,mixed / tooth / stays / land,0.035602,False,7,1111111111411144444414444444222222222222222222222,3859,49,0.29331,0.38462,4,0.039342,0.36515,0.95465,0.00051827,0.04483,0.14149,grass,59.87,0.514,0.89783,0,0
control 11,mixed / tooth / roams / shore,0.025611,False,6,001111004441002222002222002222000444,2776,36,0.21057,0.6,17.5,0.1354,0.43419,0.81952,0.010447,0.17003,0.056916,grass,35.165,0.669,0.55512,0,0
control 11,flesh / no tooth / roams / shore,0.022898,False,4,2222222222224444,2482,16,0.0014414,1,18,3.7701e-05,0.63864,0.42949,0,0.57051,0.03062,litter,32,0.701,0.42736,0,0
control 11,plant / no tooth / roams / shore,0.018073,False,6,444444444444444444240002220002222222,1959,23,0.030211,1.0455,15.75,0.00055306,0.1643,0.25166,0.49974,0.2486,0.045942,algae,30,0.72,0.2595,0,0
control 11,mixed / no tooth / stays / land,0.014844,False,4,4444444444444444,1609,36,0.094898,0.66667,0,0.0024929,0.13652,0.9739,0,0.026103,0.03294,grass,49.44,0.566,0.96573,0,0
control 11,plant / no tooth / roams / bottom,0.010443,False,4,4444444442242222,1132,16,0.0060936,1,14.75,0,0.16237,0.010601,0,0.9894,0.0070671,litter,32,0.703,0.0051869,0,0
control 11,flesh / no tooth / roams / bottom,0.008174,False,4,2222222222222444,886,16,0,1,21.5,0,0.65592,0.024831,0,0.97517,0.015801,litter,32,0.702,0.031838,0,0
control 11,mixed / tooth / stays / shore,0.0080725,False,6,111111112211122221422224442244444444,875,36,0.25442,0.47059,4.5,0.052849,0.3395,0.84229,0.0022857,0.15543,0.069714,grass,53.94,0.54,0.79554,0,0
control 11,flesh / no tooth / stays / shore,0.0064672,False,4,2222222222224224,701,16,0.0098885,1.125,5.5,0.0039072,0.59635,0.4679,0,0.5321,0.024251,litter,32,0.697,0.4328,0,0
control 11,flesh / no tooth / stays / bottom,0.0050926,False,4,2222222222224444,552,16,0.01464,1,1.25,0,0.46667,0.01087,0,0.98913,0,litter,32,0.702,0.0019609,0,0
control 11,plant / no tooth / stays / surface,0.0025555,False,8,4444444444000444400000440000004400000004000000040000000200000022,277,29,0.01878,1.3571,0.75,0,0.085595,0,1,0,0,algae,26,0.768,0.00041628,0,0
control 11,mixed / no tooth / roams / surface,0.002454,False,7,4444440444444044444004400000220000022200002222200,266,27,0.0057641,1.1852,27.5,0.0010222,0.36572,0.033835,0.96241,0.0037594,0.022556,algae,26.46,0.768,0.020887,0,0
control 11,plant / tooth / stays / land,0.002168,False,8,0001111122211111442211114440111144400111444444114444444144444444,235,49,0.30902,0.36735,1.75,0.025591,0.19526,0.9617,0,0.038298,0.11064,grass,73.69,0.464,0.93203,0,0
control 11,flesh / no tooth / roams / land,0.0014577,False,4,2222222222224444,158,16,0.00072754,1,13.75,0.00098593,0.67288,0.96835,0,0.031646,0.12025,grass,32,0.703,0.90084,0,0
control 11,mixed / no tooth / roams / land,0.0011993,False,4,4444442422242222,130,16,0.072102,1,11,0.0026968,0.35272,0.95385,0,0.046154,0.54615,grass,32,0.6935,0.92347,0,0
control 11,plant / no tooth / roams / land,0.00094102,False,4,4444444444442222,102,16,0.021167,1,11.75,7.7888e-06,0.10387,1,0,0,0.21569,grass,32,0.703,0.96824,0,0
control 11,flesh / tooth / roams / shore,0.00088567,False,6,001111004441002222002222002222000444,96,23,0.25577,0.56522,22.25,0.042172,0.63838,0.69792,0.010417,0.29167,0.052083,grass,31.1,0.712,0.5326,0,0
control 11,plant / tooth / stays / shore,0.00071038,False,7,1112222144222244444224444444444444444444444444444,77,64,0.24135,0.35593,3.25,0.01166,0.23774,0.62338,0.35065,0.025974,0.28571,grass,70.39,0.473,0.76009,0,0
control 11,flesh / tooth / roams / land,0.0006089,False,5,1111111111224222442222222,66,36,0.29174,0.5,18.125,0.16375,0.70006,0.98485,0,0.015152,0,browse,41.375,0.617,0.33757,0,0
control 11,flesh / no tooth / stays / land,0.00045206,False,4,4444444444444444,49,16,0,1,0,0,0.35364,1,0,0,0,grass,32,0.699,0.71979,0,0
control 11,plant / tooth / roams / land,0.00044283,False,6,111111114411144441144422112222112222,48,36,0.39383,0.25714,13.875,0.079129,0.23832,1,0,0,0.14583,grass,57.005,0.52,0.86345,0,0
control 11,plant / tooth / roams / surface,0.0003598,False,6,444444444414400011200011222221222222,39,30,0.15193,1.0357,51.5,0.00036126,0.17588,0,1,0,0,algae,32.52,0.693,2.6229e-18,0,0
control 11,plant / tooth / roams / shore,0.00012916,False,6,224422244444244444244444224442222222,14,42.5,0.14925,0.46835,29.5,0.15028,0.19042,0.78571,0.14286,0.071429,0.14286,grass,43.88,0.598,0.63858,0,0
control 11,flesh / tooth / stays / shore,8.3031e-05,False,6,111111444441444441444422222222222222,9,36,0.29477,0.38889,5.5,0.001013,0.71468,0.77778,0,0.22222,0.22222,litter,54.22,0.542,0.41433,0,0
control 11,mixed / tooth / stays / bottom,5.5354e-05,False,6,114444111444110044110004220004222004,6,26,0.31333,0.97674,6.25,0,0.44214,0,0,1,0,litter,32.05,0.7025,0,0,0
control 11,flesh / tooth / stays / land,4.6128e-05,False,7,1114444122244412222441222244122244411244441110000,5,36,0.25389,0.4375,6,0.0081631,0.65752,1,0,0,0.6,grass,41.03,0.618,0.96807,0,0
control 11,mixed / tooth / roams / bottom,4.6128e-05,False,5,4440444444244202222022220,5,25,0.035461,0.88,41.5,0.027556,0.34374,0,0,1,0,litter,34.88,0.667,0.031991,0,0
control 11,plant / tooth / stays / surface,4.6128e-05,False,8,4400000244222002444220024444400244444002444444424444444444444444,5,53,0.098684,0.86538,4.51,0.00019147,0.25111,0,1,0,0,algae,51.18,0.55,0.043668,0,0
control 11,mixed / tooth / roams / surface,2.7677e-05,False,6,044444000041022221222222222222222222,3,25,0.097561,0.8,53,0.063208,0.62469,0,1,0,0,algae,31,0.714,0.045857,0,0
control 11,mixed / no tooth / stays / surface,1.8451e-05,False,7,4444444444444444000444000004420000422200242222244,2,49.5,0,0.78788,4.75,0,0.64711,0,1,0,0,algae,47.12,0.594,0,0,0
control 11,flesh / tooth / roams / surface,9.2257e-06,False,6,111111114441044441004440000220000220,1,33,0.33333,0.45833,29.75,0.038117,0.76295,0,1,0,0,algae,29,0.741,0.29864,0,0
crown 9,mixed / no tooth / roams / shore,0.14367,True,4,4444422422222222,24337,24,0.0048504,0.95238,13,0.00079244,0.41402,0.41201,0.0007807,0.57768,0.083987,litter,42,0.615,0.45344,0.010447,0.0095328
crown 9,mixed / tooth / roams / shore,0.14235,True,6,001111002222042222042222044444004444,24113,27,0.13992,0.68,15.75,0.15003,0.41331,0.68196,0.031104,0.043421,0.025546,grass,43.78,0.601,0.44631,0.20014,0.24352
crown 9,mixed / no tooth / stays / shore,0.13103,True,5,2222222222240424444444444,22196,24,0.026416,0.95652,2,0.0012044,0.26722,0.39367,0.00072085,0.60164,0.043296,litter,46,0.585,0.40205,0.0019065,0.0039647
crown 9,mixed / no tooth / stays / bottom,0.10322,False,4,2222222244444444,17485,16,0.0067983,1.25,2.25,2.5731e-06,0.26194,0.03809,0,0.96174,0.0067486,litter,32,0.694,0.019101,3.9332e-05,0.00017158
crown 9,plant / no tooth / stays / bottom,0.089148,False,4,4444444444444444,15101,16,0.023774,1.0625,0,8.013e-05,0.070733,0.032382,0,0.96755,0.0082114,litter,32,0.702,0.020727,1.7687e-05,6.6221e-05
crown 9,mixed / no tooth / roams / bottom,0.080287,False,5,2222222222244024444244444,13600,16,0.0011637,1.125,14.25,1.2173e-05,0.3539,0.05,0,0.94971,0.015221,litter,32,0.691,0.034016,0.00022948,0.00029412
crown 9,plant / no tooth / stays / shore,0.067565,False,4,4444444444444444,11445,25,0.039306,0.90909,0,0.0017134,0.088197,0.40262,0.020271,0.55806,0.046308,litter,38.85,0.634,0.42771,0.01398,0.019048
crown 9,plant / no tooth / stays / land,0.039523,False,8,4444444444444444444444444444444444444444444444444444444444444444,6695,49,0.10787,0.53061,0,0.00084299,0.055545,0.97058,0.00014937,0.027035,0.039731,grass,87.26,0.426,0.96947,0.00025033,0.0022405
crown 9,plant / no tooth / roams / surface,0.03486,False,9,444444444444400044444000022440000022440000022440000022444000222444002222444422222,5905,24,0.019704,1.25,19,4.5458e-05,0.15175,0.020491,0.97917,0.0003387,0.0055885,algae,25,0.79,0.0067714,0,0
crown 9,mixed / tooth / roams / land,0.025591,False,7,0011111000222200222220022222004222400444440000444,4335,36,0.22433,0.53125,11.5,0.12117,0.45324,0.93333,0,0.044983,0.061822,grass,59.48,0.516,0.71402,0.0075817,0.021684
